InstanceType,status,lifetime,Vender
a1.2xlarge,0,86397,AWS
c1.medium,0,1,AWS
c1.medium,0,3,AWS
c3.2xlarge,1,3291,AWS
c3.2xlarge,1,37067,AWS
c3.2xlarge,1,3391,AWS
c3.2xlarge,1,601,AWS
c3.2xlarge,1,2005,AWS
c3.2xlarge,1,4477,AWS
c3.2xlarge,1,124,AWS
c3.2xlarge,1,69,AWS
c3.2xlarge,1,1328,AWS
c3.2xlarge,1,4979,AWS
c3.2xlarge,1,8732,AWS
c3.2xlarge,1,9395,AWS
c4.2xlarge,1,362,AWS
c4.2xlarge,1,718,AWS
c4.2xlarge,1,769,AWS
c4.2xlarge,1,600,AWS
c4.2xlarge,1,72,AWS
c4.2xlarge,1,599,AWS
c4.2xlarge,1,454,AWS
c4.2xlarge,1,139,AWS
c4.2xlarge,1,2361,AWS
c4.2xlarge,1,1923,AWS
c4.2xlarge,1,775,AWS
c4.2xlarge,1,832,AWS
c4.2xlarge,1,1278,AWS
c4.2xlarge,1,326,AWS
c4.2xlarge,1,744,AWS
c4.2xlarge,1,150,AWS
c4.2xlarge,1,62,AWS
c4.2xlarge,1,85006,AWS
c4.2xlarge,0,2,AWS
c4.2xlarge,0,1,AWS
c4.2xlarge,0,1,AWS
c5.12xlarge,0,86395,AWS
c5.12xlarge,0,86396,AWS
c5.12xlarge,0,86398,AWS
c5.12xlarge,0,86399,AWS
c5.12xlarge,0,2,AWS
c5.12xlarge,1,41522,AWS
c5.12xlarge,1,5630,AWS
c5a.12xlarge,1,208,AWS
c5a.12xlarge,1,665,AWS
c5a.12xlarge,1,71664,AWS
c5a.12xlarge,1,5047,AWS
c5a.12xlarge,1,4573,AWS
c5a.12xlarge,1,6849,AWS
c5a.12xlarge,1,26617,AWS
c5a.12xlarge,1,38443,AWS
c5a.12xlarge,1,6723,AWS
c5a.12xlarge,1,2083,AWS
c5a.12xlarge,1,11299,AWS
c5a.12xlarge,1,482,AWS
c5a.12xlarge,1,255,AWS
c5a.12xlarge,1,8174,AWS
c5a.12xlarge,1,4242,AWS
c5a.12xlarge,1,12637,AWS
c5a.12xlarge,1,3539,AWS
c5a.12xlarge,1,41907,AWS
c5ad.12xlarge,1,56693,AWS
c5d.12xlarge,1,55761,AWS
c5d.12xlarge,1,11437,AWS
c5d.12xlarge,1,41430,AWS
c5d.12xlarge,1,22277,AWS
c5d.12xlarge,1,1069,AWS
c5d.12xlarge,0,86398,AWS
c5d.12xlarge,1,23706,AWS
c5d.2xlarge,1,5735,AWS
c5d.2xlarge,1,281,AWS
c5d.2xlarge,1,21423,AWS
c5n.18xlarge,1,43645,AWS
c5n.18xlarge,1,36469,AWS
c5n.18xlarge,0,2,AWS
c5n.2xlarge,0,86399,AWS
c5n.2xlarge,0,1,AWS
c5n.2xlarge,1,44105,AWS
c5n.2xlarge,0,86396,AWS
c6a.12xlarge,1,6346,AWS
c6a.12xlarge,1,7193,AWS
c6a.12xlarge,1,10734,AWS
c6a.12xlarge,1,26742,AWS
c6a.12xlarge,1,23250,AWS
c6a.12xlarge,1,485,AWS
c6g.12xlarge,1,75624,AWS
c6g.12xlarge,1,74533,AWS
c6g.12xlarge,0,1,AWS
c6g.2xlarge,0,86396,AWS
c6gd.12xlarge,0,86397,AWS
c6gd.12xlarge,0,1,AWS
c6gd.12xlarge,0,1,AWS
c6gd.12xlarge,0,86394,AWS
